Q	V	A	T	G
780	680	4	115	9.12
720	485	3	100	6.7
500	740			9.28
780	465	3.5	112	8.7
730	665	4	111	9.3
300	450		100	
800	605	4.5	120	8.77
680	380	3.5	90	7
				
790	560			7.3
800	500			7.82
615	290	3.5	80	
630	320	3		6.5
710	300	2	66	8.95
770	720	5	111	
800	575	4	111	9.3
690	380	3	91	7.2
				
690	395	3	86	6.7
465	420	3	76	7.5
780	300	2.5	77	
				
730	320	3.5	91	7.06
				
800	485	3.5	109	7.62
780	485	3.5	110	7.3
				6.7
				6.77
				
770	515	3.5	109	6.93
800	760	4.5	118	8.65
770	530	3	103	7.3
680	300	2		
644	340	2	82	8.96
				6.4
790	600	4	110	7.837
770	465	3.5	114	8.92
				
				
790	500	4.5	109	8.26
770	545	3.5	100	7.3
				9.3
730	410	3.5		6.5
740	390	3.5	98	8.52
770	465	3		6
				8.3
750	450	3.5	106	7.1
				7.3
730	480	3.5	99	9.26
				7.3
740	550	3.5		
615	310	3	84	
780	360	3.5	94	6.816
				6.48
750	580	3.5	109	6.47
730	580	3.5	102	7.667
465	360			6
790	575	4	108	6.34
760	435	4	114	9.04
760	450	3	88	6.05
720	410	3.5	90	6.7
780	610	4.5		8.2
800	580	5	111	6
680	380	3.5	97	
690	350	3	82	9.44
720	310	3		6.484
730	465	3.5	111	
770	545	4		7.44
770	435	3.5	96	6.23
				
750	400	3	89	7.6
710	560	3	94	6.3
670	320	3.5	91	9.25
720	460	4.5	104	
				6.68
780	410	3	89	6.5
800	530	4	104	8.13
740	710	3.5	118	8.58
760	420	2.5	95	8.85
800	360	3	101	8.1
			105	
790	570	4	104	9.625
800	720	5	117	
800	450		90	9
				
750	420	3	104	7.8
740	545	3	108	7.6
				
640	280	2.5		6.67
790	485	3	102	8.1
790	410	3.5	93	6.7
740	500	3	96	7.45
				7.88
800	575	4	110	5.9
770	530	3	108	6.8
440	485	2	80	
750	420	3		8.13
740	420	3.5	97	
770	540	3	108	7.5
780	420	2.5		7.1
800	610	4	111	8.32
730	420		103	
465	380	4	82	7
790	530	3.5	103	6.85
800	515	3.5		7.65
780	330	3	90	
780	390	3.5	92	8.6
705	465	3	105	7.62
770	485	3	101	7.1
800	640	3	113	6.878
				
720	450	3	102	
750	600	4		7.4
790	610	3.5	117	6.6
750	435	3.5	104	8.281
740	280	2	88	
670	310	2.5		6.574
				
720	320	3		
780	480	2.5		7.4
800	515	4.5	111	7.95
740	420	3.5	102	7.1
790	465	3.5		7.9
760	395	3.5	98	7.758
710	320	2.5		
				6.9
				
740	560	3.5	114	6.8
770	370	3	97	7.825
				8.8
705	300	3		5
720	590	4	113	9
740	340	3	83	6.8
				7.6
				
740	420	3	100	7.4
790	500	4	107	6.9
770	515	4	111	8.3
780	465	4	107	7.69
790	530	4		7.24
				
				7.2
780	410	3	102	5.873
760	490	3	97	7.69
				8.65
800	800	6		
				7
				
				8.34
				8.1
640	340	3	90	10
740	300	2.5	85	
800	520	3.5	102	
				
			91	
760	410	3.5	104	7.95
				
720	450	4		7.3
710	340		88	
				
790	465	3	102	8.8
800	560	4		8.56
780	640	4.5	102	8.1
740	395	3	113	6.17
485	320	2.5		
780	320	2.5	87	6.2
740	360	3.5	90	7.2
770	370	3		5.3
780	310	2.5		6.66
				7.98
800	395	3.5	86	7.82
				7.476
800	550	3.5	110	9.00427
630	665	3	102	5.927
750	635	3.5	110	6.476
800	450	2.5		7.83
730	350		94	7
		4		6.2
800	530	3	103	
730	450		97	7.15
740	360	2	95	8.5
				
800	530		112	8.1
				
705	410	3.5	98	5.6
680	410	3	83	
				8.47
				
770	485	4	105	7.6
770	380	3.5	104	7.3
760	570	2.5	92	7
800	530	3.5	109	8.4
				
740	435	3.5	99	8.55
760	360	3		8.34
289	270			7
800	560	4.5	116	7
780	660			6.7
760	540	3.5	98	9.4
780	670	3		6.5
720	370	3		6.56
				
				
800	530	3.5	110	8.9
385	300	2.5		
740	560	3	108	8.54
770	575	4		7.7
				5.5
680	460	3	89	7.32
				
800	435	3	107	8.5
690	350	3	81	7.1
				
790	665	4	111	9.3
				
790	420	3	100	7.4
				6.1
				
680	280	3	70	
				9.02
740	630	3	96	
750	510	3.5	104	6.1
790	530	4		
				7.4
750	510	4.5	107	
770	435	3	91	8.61
800	530	4		7.6
760	280	3		
790	320	4.5	85	7.14
				7.2
300	395			7.7
770	590	4	115	6.013
				
750	420	3.5		7.799
770	515	3.5	116	9.47
770	510	3.5	106	
800	620	4.5	117	8.1
				9.19
790	465	3	107	8.234
				
650	270	3	80	
				5.6
750	485	3.5	107	8.2
800	485	3.5		7.4
770	485	4	114	6
				7.867
770	420	3.5	99	8.4
				
				7
730	340	2	82	6.016
				
				8.7
				7.4
720	290	2		6.039
760	500	4	116	7.4
680	340	3.5		
740	485	3.5		9.21
				7.3
			64	6.92
770	590	3		
				
730	400	2.5		
				
360	320		73	
740	485	3		
660	400	2	78	7
790	450	3	101	
770	515	5	107	8.29
770	360	3	85	5.8
730	440		94	
				
780	500	3.5	101	7.34
644	395	3	87	8.3
				
800	340	3.5	100	7.2
790	560		118	9.29
	605	4	110	8.31
720	410	3	91	7.3
740	310	3.5	92	
800	630	4		8.31
615	300	2.5		6.511
800	330	3	105	7
800	590	3	98	6.8
				
				
720	370	5	107	9.6
740	410	3	92	
780	350	2.5	95	8
600	420	3	91	
710	420	3		
760	530	3.5	106	7.85
680	280	2.5	99	6.67
				6.9
720	380	3.5	105	7.32
			97	
800	485		110	7
770	500	4	108	7.493
				
				
644	395	3	85	
				8.5
				
740	410	3	95	7.672
770	515	3	103	8.5
				
485	310	3.5	92	6.1
				8.234
780	370	2.5	88	7.2
				
780	420	3.5	97	6.8
770	500	3	107	7.2
690	280	3	71	
770	320	3	92	
710	380	3	91	7.4
				
790	515	4	109	8.54
800	485	3	106	5.951
760	600	3	91	6.809
760	600	4	104	7.2
800	685	4	118	6.76
770	560	4	111	6.3
790	500			7.8
595	310	3	80	
800	500	4	110	8.35
790	545	4	114	8.09
770	410	4		7.8
790	465	3.5	111	8.05
				
630	450	4	80	6.3
790	680	4	112	8.5
780	485	3.5	101	7.6
750	395	3	91	6.3
770	360	3	90	7.354
760	710	4.5	116	8
595	310	3	80	
770	450	3.5	101	8.38
				8.93
750	450		110	7.572
780	420			7.72
730	330	3.5	95	7.8
770	530	3.5	113	8.8
750	450	3.5		4
750	500	3.5	103	6.34
790	340		91	
800	545	4.5	110	9.2
				
750	500	3.5	102	6.34
				
760	540	3	102	7.7
750	610	3	109	8.6
760	520	3.5	113	6.7
770	465	3.5	95	7.05
780	490	3		7.6
740	450	3	100	8.34
				
740	330			6.65
780	570	4		7.3
				6.9
710	480	3	93	
				8.1
750	450	3	102	6.748
770	500	3.5	111	7.88
740	360	4	115	7.85
690	465	4	108	7.1
770	420	4	106	8
				
				
760	465	4	109	8.1
630	370	3	90	6.9
				
321	590			6.05
770	560	3	101	6.821
760	300	3		
740	470			5.8
				8.98
595	320	2.5	93	7.272
750	430	3.5	100	6.8
800	450	3		7.7
770	360	3.5	90	7.62
				
770	420	3	91	7.54
770	600	3.5	101	9.5
800	485	3.5	102	6.804
680	410			6.9
780	435	3	105	8.04
				8.5
770	435	3		
				7
730	465	4		7.8
680	570	4	103	6.85
770	500	4	107	8.274
790	560	4	110	8.02
760	515	3	103	9.65
780	680	3		7.1
				
740	395	3		
750	390	3	100	6.2
298	310			
740	280	2.5	75	8
800	485	4	110	6.8
740	260	3		
705	380	3	91	7.6
790	620	3.5		6.8
644	290	2.5		
800	465	4	107	9.02
740	420	3	105	8.27
760	395	3	105	5.933
				
730	330	3	96	6.86
				10
770	485	3.5	104	8.25
760	395	4		6.5
				
				6.65
790	605	4		8.2
				
				8.6
770	320	3	80	7.45
720	530	4	111	6.3
	710	5	117	
780	460	3.5	103	7.4
750	410			7.89
750	450	2.5	97	6.8
300	410	3	90	6.9
790	620		109	8.51
				7.316
800	485	3	103	5.7
780	380	2.5	87	8.2
				8
				
750	575	4.5	106	7.547
780	450		102	7.51
750	485	4.5	111	7.982
780	420	3		8.5
740	485	3	96	8.7
575	290	2	58	
760	380	3		7.8
				
750	310	2	80	6.4
800	650	4.5	114	8.7
				
570	380	2.5		7.7
780	485	3.5	94	
720	590	3.5	96	6.67
770	370	3	102	8.44
590	420	3		6.4
770	435	3.5		8
790	685	5.5		
				5.355
770	685	3.5	112	5.73
760	465	3.5	111	7.4
665	380	2.5		6
720	330			5.7
790	620	4		7.35
720	330	3.5	104	6.3
800	435	4	103	9.22
680	450	2.5	82	6.51
780	485	3.5	101	7.7
				
780	435			9.23
800	630	4.5	116	7.85
780	395	4	93	7.009
800	530	4.5	105	8.3
720	550	3.5	112	7.87
770	710	4		9.38
730	370	2.5	81	6.3
680	665	4	107	6.8
780	510	3	110	7.8
665	410	3	99	6.7
770	450	3.5	111	7.878
				7.75
730	435	3	103	8
740	360	3		
760	485		98	6.5
800	590	4	117	8.1
790	545	3.5	106	7.34
				
750	450			7.03
800	690	4		8.9
302	370			6.1
				
780	340	3	100	8.024
790	515	4	104	7.78
780	465		96	8.14
760	465	3.5		8.6
800	280	2.5	85	7.94
410	575			8
750	410	3		8.3
730	420	3		8
575	280	2		6.5
320	530	4	102	6.5
790	560	4	104	8.34
800	665	4	108	7.47
705	450	3	104	6.79
750	370	4	100	8.3
690	360	3.5	97	6.984
770	310	2		
				7.6
				
800	420	3	97	8.22
680	320	3	90	6.7
760	590	4	115	8.43
720	320	3		6.34
277		2	85	
705	420		102	
770	380	2.5	106	7.9
800	465	3	108	7.84
790	420	3	91	8.66
690	280	2.5	84	
660	430	3	106	5.7
690	575	3.5		7.94
780	500	4	95	8.16
790	460	4	109	7.325
770	605	3	109	7.6
770	395			8.2
770	635	4.5	111	7.59
690	435			7.1
770	360	4		6.8
770	420	3.5	110	8.1
770	380	3	90	7.7
				
640	280	2.5	65	
510	310	2.5	82	7.13
790	435	2.5		7.5
730	380	3.5	95	
770	420	4	96	
575	280	3	91	7.1
750	395			6.3
800	485			5.7
800	420	3.5	111	6.3
800	440	3		
				
800	485			7.9
630	310	1.5	80	
760	435	3.5	104	7.49
740	370	3	97	8.14
800	340	3	90	8.14
750	380	4	105	7.78
280				
770	360	2.5	89	6.5
790	515	3.5	104	8.5
760	370	4	88	7.38
				
				6.1
665	485	3	90	7.4
800	545	3.5	108	6
790	420	3	108	7.4
770	530		97	6.5
780	435	3	92	6.5
				
				8.2
660	410	3	97	6.832
				
				
385	320		64	
644	370	3	81	7.1
790	420	4		9.6
				8.3
770	320	2.5		6.76
800	465	3.5		7.96
				5.9
770	540	3.5	114	6.8
644	320	3		7.417
730	360	3.5	90	7.446
780	485	3.5		7
750	350	3		
595	270	3		
				
510	545	3	90	6.34
800	410	3	99	7.75
760	515	3	107	8.161
790	390	2.5	87	5.3
730	410	3.5		
				7.425
				
790	330	3		6.8
790	485	4.5	112	7.5
720	270			8.2
780	465	4	100	7.7
				
770	370	2.5		8.5
720	500	4	104	7.2
				
				
				8.75
770	530	4	111	7.5
770	435	3	100	8.03
710	390	3	70	7
730	485	3.5		8.95
620	340		80	
750	510	3	104	
				8.38
				
				7.59
800	620	4.5	115	8.3
				
800	485	3.5	103	9
760	360	2		7.8
720	500	3	103	8.64
800	530	4.5	109	7.6
740	435	3.5	108	6.739
790	465	3	107	8.93
				7
				
800	620	4	110	9
800	600	3.5	104	7.75
555	320	3		7.6
				
				7.31
			114	
630	450			7.96
780	360	2	89	7.95
				
700	350		96	6.1
790	280	2.5	85	7.87
				6.585
740	370	3	93	5.89
				7.6
760	320			8.01
720	330	3	86	9.05
				7.6
800	590			8
705	290			6.677
800	485		99	7.08
615	435	3.5	96	7.93
595	465			6.6
770	370	3		8.78
800	465	3	103	7.64
740	450			7.5
				8.55
790	560	4	106	6.8
790	650	4	114	7.3
				
770	380	3.5		8.4
				
780	685			7
680	360	3		7.183
730	410	3.5	94	6.5
				8.6
730	420	3.5	101	7.4
800	605	4		8.48
790	510	4	102	8.13
760	435	3	90	7.4
790	560	4	102	
790	450	4	103	8.95
720	330	3	95	6.8
595	360	3		
760	320	3	85	9
				
790	450	3	98	
800	450		95	8
800	500	3.5		6.6
760	465	3		8.18
720	330	3.5	104	6.2
800	530	3.5	107	5.8
720	420	3.5	99	6.7
615	435	3	90	7.5
760	435	3.5		7.9
740	290			
800	380	3	98	6.6
720	370	5	100	6.8
750	360	2.5		6
690	395	3.5	103	8.175
800	620	5	105	5.9
730	370			
720	410		94	
750	485		93	7.5
				7.2
				8
644	435	3	103	6.4
				7.6
760	510	3.5		6.3
				
730	450		89	6.2
			99	7.1
				
680	300	3.5	83	6.82
770	420	4		8.31
730	380	3.5	100	8.2
				
705	380			
750	515	3.5		6.7
				9.2
780	530	3.5	106	7.28
				
790	420	3	112	8.16
510	435	3	96	
790	420	3		8.46
770	395	3	111	6.5
780	530	4	108	7.8
760	450	3.5	102	
800	680	3.5	115	8
790	500	3.5		7.6
790	420	3.5	106	6.507
740	340	3	94	6
720	450	4	101	6.4
720	380			8.5
790	420	2.5		8.016
790	435	3.5	104	6.2
310	310	1.5		
750	320	4		7.72
800	485	4		8.24
750	370	3	88	6.6
710	320	4	100	7.2
				
770	435	3.5	87	6.5
800	685			7.2
800	635		113	9.9
770	650	4		6.83
740	485	4	113	8.4
730	515	3	109	6.6
780	605	3.5		8.8
740	340	3		8.2
				
730	500	3	99	7.3
780	410	3.5	111	7.3
298	340	2	85	7.3
760	360	3	100	7.5
790	530			9.12
770	500	3	96	
760	420	3	92	7.2
770	435	3.5	106	7.6
740	605	4		7.3
760	320			
			103	6
770	605	4	116	7.1
665	300	2.5		7.5
690	510	3.5	112	7
790	650	3	115	7.065
705	370		91	8.04
800	465	3	99	7.16
790	515	3.5	108	
				7.8
800	590	4.5		7.52
730	485	4		
800	720	5		7.1
615	300	3		7.5
740	410	3.5	101	5.728
640	320			7.2
705	465	4.5	95	7.4
780	630	2.5		7.3
790	560	3	114	5.93
800	650			7.97
790	450		107	5.4
760	450	3	109	9.33
705	380	2.5		6.4
780	610	4	108	6.1
780	640	4.5	116	8.48
770	450	3.5	95	5.96
770	420	3.5	102	
770	450	3	101	6.5
				7.85
				6.99
750	320	2.5		
				7.056
510	330	3		
790	515	4	108	7.519
770	610	3.5	103	7.38
800	450	3		7.2
700	500	3		
				
				
				7.6
750	340	2	80	7.073
760	485	4		7.03
770	485	3	100	7.62
770	515	3	104	7.66
				
680	330	3	104	7.7
800	720	4.5		7.1
770	435	4	103	7.11
800	605			9.06
770	370	2.5		6.3
				
720	410	3	106	6
705	280	3	80	7.3
750	330	3	88	8.8
760	320	3.5	86	5.929
740	410	3	99	7.5
800	685	4.5		7.7
				
770	465	2.5	81	7.27
				
				
800	530			8.23
760	515	4	109	6.547
				7.3
730	250			7.28
770	560	3.5	109	7.1
705	340	3.5	93	
740	340	2		8.2
800	515	3.5	107	8.26
770	500	4	98	9.67
				8.14
770	420	4		8.55
790	500	4	112	8.75
705	380	4	101	7
770	500		111	8.4
				
				
770	310	3	95	7.528
705	395	3.5	90	7.3
				7.1
750	580	3.5	103	6.3
760	340	2.5	90	6.7
790	435	3	104	7.9
770	560	3.5	114	6.66
800	360	3.5	98	7
800	575	4	110	
780	420	3	93	8.4
790	450	3.5	113	5.7
780	560	3.5	112	8.6
				5.72
740	630	3	96	
720	300			
800	700			7.75
720	420	3		8.6
680	360	4		5.96
730	370	4	96	6.609
				
780	485	4.5	110	9.1
770	450	3.5	100	
750	410			
770	370	3		7.2
				7
				
				8.04
790	435	3	100	7.5
				
780	515	3	101	7.6
				
770	435			
705	435	3	93	7.5
800	480			6.4
740	340	2	82	6.7
750	530	3.5	104	6.25
770	470	3	94	8.87
720	290	2		8
750	515		106	8.3
800	610	3.5	113	9.5
690	435	3		8.5
760	450	3	100	8.3
				
800	605			9.35
750	395	3	95	8.3
790	490	3		7.5
770	485	4.5	106	7.6
770	590	3.5	111	7.45
770	560	5	115	7.38
740	360	3	106	5.8
		3		
790	410	3	95	7.847
730	310	3		8.3
750	370	3	82	8.45
790	485	4	113	8
780	395	3	93	7.8
800	665	3	105	7.98
				
750	465	3		7.4
750	515	3.5	97	7.504
				5.3
790	435	3		7.3
	610		111	8.6
800	605	4.5		8.2
				7.05
				
770	410	3.5	100	6.4
750	310			
740	515	4	100	7.48
800	650	4	109	7.73
790	485	3		7.28
720	410	3	91	7.3
800	685	4.5	118	7.74
800	605	4		6.85
740	310	2	90	5.9
				7.9
700	470	3	90	7.7
780	635	4	111	8
730	450	3.5	95	7.8
770	575	3.5	110	9.25
310	215	2	54	5.3
720	395	3	101	7.6
800	545	3	98	6.1
				
790	550	4.5	105	
690	430	3.3	102	7.3
790	485	4.5	112	7.7
790	410	3	94	7.66
760	490	3.5	97	6.8
730	330	3	101	9.228
790	665	4	116	7.1
720	685	4		8.87
690	360	3.5	110	7.3
800	545	3		8.7
770	450	3	93	8.8
790	410	3.5		7.1
770	515	3	105	6.8
770	410	2.5	95	7.625
760	410	2		6.2
				
730	420			7
770	485	3.5	99	9.01
750	370	3	94	6.563
770	465	3.5	105	8.1
390	800	4	107	7.667
800	395	2.5	94	
790	370	3.5	106	7.36
644	380	3	86	6.962
740	450	3.5	91	7
			94	
800	590	4	100	8.54
720	435	4	105	6.36
				7.16
790	520	3.5		7.3
720	330	3		7.38
				8.42
630	330	2.5	92	8.19
770	300	2.5		7.5
780	440	3		7.8
780	560	3		6.8
790	590	4	112	9.35
770	575	4	119	6
800	410	3		7.4
760	515	2.5	91	7.92
740	410	4	111	6.9
800	590	3.5	105	5.7
750	590	4	107	7.3
770	485			7.7
				7.1
				7.6
790	410	3.5	102	7.08
				6.8
750	545	3.5	111	7.238
750	575	3.5	111	7.428
750	410			7.5
				
740	340	3	83	6.415
790	410	3.5		6.6
				
				7
740	380	2.5	105	7.57
790	605	4.5	110	8.74
800	560	3.5		7.46
800	370	3.5	93	8.16
800	640	4.5		8.65
665	370	3.5	85	7.3
780	515	3	108	7.8
790	485	3.5	107	6.93
740	560	4.5	113	7.015
				
790	575	4.5	112	9.27
				5.8
750	515	3.5		7.42
800	360	2.5		7.2
720	485	3	103	8.88
790	500	3	103	7.3
710	330	3		
705	590	3.5	111	6.646
800	640	3	106	8.17
				
770	515	2.5		6.6
740	370	3.5		6.287
665	420	2.5		5.5
770	360	3	97	6.8
790	590	3		6.6
740	530	3.5		6.86
790	485	4	106	6.2
750	500	4	109	7.69
800	465	4	112	8.3
800	395			7.44
770	450	3	91	6.2
730	370	3	90	6.7
770	500	4	113	6.028
800	640	4.5	114	9.31
790	500	4	105	9.34
665	340			7.7
800	630	4.5	110	7.4
760	370	3		
800	635	4	119	7.5
780	545	4		8.3
630	330	2.5		6.2
				
760	360	3	96	6.7
				8.1
				
298	330	3		7
740	515	4	106	8.1
780	485	3.5	109	8.58
720	360	2.5	93	6.31
				
800	690	4		
				
485	320	2.5		6.585
800	545			7.52
730	410	3.5	101	6.3
800	530		114	7.8
770	290	2.5		7.011
760	395	4.5	100	7.3
800	400	3	85	
				5.92
760	380	2	85	7.115
780	560			9.56
750	330	2.5		7.8
750	465	3.5		6.5
				
750	410			7.2
800	500	4		7.77
				
800	530	3	113	9.19
770	435	3.5	94	7
780	530	3.5	98	7.52
750	605	4		7.1
				
770	380			7.43
750	500	3		7.3
				8.6
630	435	4		
790	435	3.5	103	8.54
770	380	3	100	6.3
780	490	2.5	76	7.1
				
770	610	4	105	8.1
790	560	3	108	7
				
299	320	3	81	7.3
740	340			6.1
800	380		104	8.85
780	380	3	90	8.1
760	530	4.5	100	6.6
790	605	4.5	111	9.07
770	450			7
770	370	3		7.6
760	485	3	90	7.75
790	560	4.5		
770	370	3.5	99	6.1
800	450			7.44
770	600	4	111	6.86
				6.5
				6.1
770	650	3.5		
740	395			7.5
690	360	2		6.7
800	530	4	100	9.75
740	620		107	7.2
800	590	4	111	7.652
790	560	4.5		7.01
665	650			7.79
720	380	3		6.9
790	605	4.5		7.5
760	420	3.5	102	7.3
660	300	2.5		6.7
750	420			7.7
				
790	560	3.5	105	6.9
790	575			10
800	620	3.5	110	9.22
644	330	2.5	86	5.7
790	500	4		
				
800	575	4	115	
770	465	3	101	6.98
				
780	395	4		7.6
750	410	2.5		6.715
770	330	3	95	
740	360	3.5	100	7.3
800	575	3	111	7.14
				7.3
720	340	3	101	8.6
730	410			8.525
780	310		81	6.4
720	370	4	100	6
				7
790	650	3.5		8.33
790	395	2.5		6.71
730	310	3	86	
720	370	3	100	6.8
				
				
680	330			
740	435	4	106	7.4
740	370			8.8
790	485	3.5		6.4
790	450	3.5	105	6.8
750	590	4	115	7.743
440	330	2		6.3
790	605	4.5	108	8.46
790	410	3	83	6.351
760	410	3	95	7.25
				7.5
760	515	3	100	7.5
630	605	3.5	104	7.1
750	480	3.5		6.4
800	550	3	94	
535	635			9.25
690	685			7.5
780	530	3.5	103	5.74
790	435	4	98	6.3
690	330			6
800	605	4.5	105	8.724
				5.5
800	540	3	110	6.676
720	280			
680	310	2	81	6.213
690	515			
770	410	3		
760	530	4	98	7
730	420	4	96	7.77
800	640	4	112	6.4
790	690	3.5		7.36
580	310			5.8
680	290	2	78	7.2
800	710	6	119	7.94
800	560	3	105	7.83
790	665			7.8
				
750	420	3.5	106	7.2
770	635	3.5	104	8.22
780	395	3.5	106	6.74
800	650	5	117	8.018
800	605	4	117	7.82
			86	6.2
770	310	2.5		7.4
730	395	3		8.4
780	395	3	97	7.2
780	380	3		7.441
800	640	4	115	8.74
690	500			6.5
740	420	4	108	6.9
770	410	3	80	5.62
			101	
740	420	3.5	99	6.128
				
750	395	4	100	7.5
730	450			
760	360	3	97	5.6
630	340			
				6.25
				7.4
780	545	4.5		7.5
				
740	360	3	101	7.6
575	310	3	98	
680	410	3	95	8.4
770	420	3		7.1
770	435	2.5	97	6.1
760	465	2.5	95	7.1
770	450			8
770	310	3	95	7.528
800	310	2		7.05
730	515	4.5	115	8
800	630	3.5		7
770	450	3		6.9
760	360	3.5	103	9.36
595	360	2.5		
740	270		71	6.2
800	410	3.5	99	9.74
800	515		102	6.2
				7
780	485	4	115	6.945
				6.01
790	420		108	
770	395	3.5		6.9
730	485			8.66
800	435			8.75
770	575	4	110	7.24
665	340	3.5	95	6
770	395	3.5		
740	300	4	95	
790	370			
760	410	3.5	88	
800	690	4	105	7
730	320			7.3
705	310	3		
595	410		109	7
				
790	560	4.5	100	7.006
800	550	2.5	108	8.1
790	605	3.5	112	8.44
710	800	3.5	111	
750	485	3.5	108	7.44
800	545	3.5		8
			79	6.319
770	450	4	112	7.293
740	340	2	83	8.2
750	380	2.5		7.85
680	310			6.5
800	380	3		9
790	530	4	105	7.7
800	395	3		7.95
760	560	4.5	117	8.7
				6.05
760	560	3.5		
540	360			6.2
800	665	5	118	9.725
800	380	3.5	103	6.8
720	530			6.3
644	370	2.5		7.9
535	420	3	86	6
				8.5
760	550	3	112	7.3
790	435	3	103	7.2
780	465	3		
644	280	2		6.858
790	530	4	112	8.58
665	620	3	102	6.96
770	435			6.4
790	320	3	86	7.115
770	450	3.5	110	7.85
705	370	3.5	102	7.2
770	435	3.5	107	7.32
790	380	3	87	
				7.56
730	420	3	98	8
				6.5
800	685	4.5		7.74
770	530	4.5	111	5.8
800	635	3.5	113	7.06
780	450	3.5		8.9
				
770	500	4		7.6
790	420	3		7.8
800	450	4	110	8.3
770	435	4		9.15
800	720	2.5	90	7.75
800	420	3.5	103	7.58
780	575	4	111	9.45
760	710	5	117	8.8
730	410	3.5	101	6.5
800	560	3.5	112	7.32
750	435	3.5	93	7.9
800	520	4.5		7.96
790	530	4	105	7.59
720	330	2.5	83	5.7
800	510	3.5	99	6.1
680	420			8.1
800	420	3.5	99	7.59
720	300	3		7.46
770	500	3.5		7.5
750	370	3		8.1
800	435	3.5	103	
770	485	4	100	7.6
780	395	4		7.6
730	330	2.5		
				8.17
760	380	2.5	92	7.6
705	370	2.5	80	7.469
595	360	3	98	5.333
780	485	3	114	7.3
800	635	4	117	8.52
770	450	3	97	8.307
790	450	3.5	103	8.5
705	340	3	88	8.25
790	550	4		8.8
770	435			6.8
630	280	2.5	75	
800	685	5.5	117	7.7
				
790	435	3		6.5
670	300	3	79	6.8
800	665			8.62
770	450	3		
650	490	4		
800	420	3		7.94
				8.73
				
800	515			7.24
770	515	3.5		6.408
770	450	4.5	112	8.8
800	500	3	104	7.2
770	330			6
800	590	4	111	7.36
780	515	4.5		8.1
770	500	4		7.344
				
				
730	630	3	114	
790	450	4	102	8.9
				
740	450	3.5	95	
				7.7
720	270	1.5	80	6.8
800	360			8.011
800	560	3.5	113	8.84
740	465	3	95	8.014
800	435	3.5	109	8.6
730	370	3		
760	340	3		8.5
665	380	3.5		8.3
				
730	320	3.5		5.4
740	500	3		6.79
770	545	3.5		9.35
770	620	3.5	110	7.87
				5.1
740	320	2.5	110	5.7
				7.487
				
680	380	3.5	89	
800	560	3.5	109	7.93
790	620	3.5	101	9
				7
790	380	3		
740	410		87	7.16
800	395	3		8.02
750	485			
				
750	380	3		7.006
780	500	4	108	8.368
760	395	3.5		7.03
740	435			7.1
730	380	3	105	8.1
800	580	3	93	6.3
780	605	4	117	6.496
705	380	3	85	7
750				7.96
				5.8
750	310	3		7.3
680	340	2.5	94	7.76
790	485	3.5	111	9.07
760	485			8.02
800	635	4	111	8
770	485	3.5		
720	395	3.5	106	8.05
780	380	3	85	6.2
790	670	4		9.14
750	450	3	105	
690	450	4	108	7.8
				7.1
595	340	3		6.7
730	360	3	88	7.65
730	260	2	79	7.7
780	465	3	92	8.775
				
730	410	3		7.1
750	485	3.5		8.57
740	530	3	106	6.3
720	350			
790	530	3.5		8.41
800	635	5.5	115	6.1
				
770	370			6.1
770	395	3		
800	635	4		8.2
750	435			8.77
650	310	3.5	94	6.75
710	480	3	93	7.1
770	530	4	114	7.3
				6.2
790	515	4		7.1
760	380	4	82	
				
680	360	2		5.966
790	520	3.5		7.45
800	575	3.5	109	9.625
750	450	3.5	97	7.56
740	410	3		8.28
770	515	3	88	7.81
665	290	3	60	6.1
780	435	3		6.92
790	360	4	98	7.5
740	330	2.5	80	7.57
				
730	340	3	81	7.46
740	435	2.5	97	8.4
800	710	4	112	6.4
780	650	3	101	7
800	570			7.6
800	435	3.5		
760	380	3	100	7.4
790	465	4.5	110	7.9
			105	
770	635	4.5	119	8.873
770	530	3.5		6.8
790	560	3.5	110	6.65
800	500	3.5	109	9.67
800	395	3	102	8.64
740	420		110	7.8
720	410	3	98	
770	450			6.3
770	450	4.5	112	8.87
770	340	2	84	8
760	410	3	92	8.36
770	450	3.5		
780	560	3	106	7.4
800	580	3.5	106	6.9
750	450	4		8.1
485	280	2.5	79	
				
770	370	3.5		7.5
315	530			7.875
595	280	2.5		5.34
790	450	3	90	7.4
800	420	3	110	7.68
720	380	2	95	
				
615	360	3.5	82	
				
				9.38
800	530	3.5	106	7.3
				8.76
740	610	3		7
790	465	4	105	5.7
740	485	3.5	107	8.035
800	485	3.5		7.766
770	310	3	84	6.6
720	380		107	8.5
780	485	3.5	106	
770	320	3.5	101	6.093
780	515			6.365
780	435			8.08
780	395	3	104	7.918
740	485		104	
760	485	4		7.44
770	500	4.5	112	8.44
790	515	3		7
760	590	3.5		7.5
660	320		100	
800	465	3	99	6.5
750	340			6.14
800	465	4	108	8.2
760	370		95	7.8
780	410	3	99	6.2
705	435	3		7
770	485	3	97	7.1
630	360	3		7.2
780	560	4	110	7.3
760	485	3.5	114	7.5
790	395	2.5	94	6.7
800	590	3.5	107	6.1
770	410	2.5	92	6.495
800	660	5	110	7.7
				6.6
				6.428
720	340	2.5	84	8.5
770	545	4	106	8.88
760	410	3	95	7.8
740	330	4		7.2
760	500			8.02
790	485	4	108	8.78
770	500			6.8
575	270			
