Q	V	A	T	G
780	580	3	101	6.6
				
750	560	4	112	6.8
				
790	530	4	107	7.8
720	550	3	105	7.3
700	320		88	8.1
				
750	650	3	99	8
690	460	3	106	7
780	620	4	113	6.155
800	360			
700	650	4	114	5.5
750	380	3	91	7.325
700	480	3	111	6.722
770	390	3		6.625
800	450	3		9.25
750	590	4	109	8.2
790	600	3	101	7.98
800	580	3.5	108	7.9
720	490	3.5	109	7.88
770	410	3	97	7.57
710	690	4	112	
				
760	360	4		7.5
700	250	3	86	5.4
760	570	3.5	106	7.3
720	360	3	88	7.8
760	450	3	106	9.06
750	320	3	88	7.08
780	490	3	94	
790	470	3	104	8.7
800	435	4		7.5
730	320			6.67
790	430	3.5		7.94
720	420	3	94	6.5
800	660	3.5	117	8.58
780	570	3.5	95	
770	500	4	105	7.5
740	530	4	112	6.2
				6.8
780	520			7.3
690	370			
				
800	515	3.5	105	8.53
				
	430	3	82	
780	630	3		8.48
760	330	3		6
800	590	5	101	6
740	620	4		5.9
				
580	320	3	87	8.8
				8.1
790	530	3.5	106	
800	650	3.5	109	7.5
780	410	3.5	94	7.012
730	610	4	113	7.29
760	500	4	110	8.96
800	770	4.5		9.4
800	540	3		8.6
620	630			8.3
790	430	3	113	7.239
750	530	4	106	7.9
700	600	4	100	
760	640	4.5	106	8.48
540	380	3.5	97	7.6
730	370		95	6.6
790	560	3.5	102	6.2
770	310	2.5	93	7.5
790	450	3	97	7
750	560	3.5	111	6.4
730	420	3.5		
430	750	4	91	8
790	470	3.5	102	6.8
680	290	2.5	93	
760	680			
790	710	2.5		7.6
690	310			
800	570	4	116	9.29
800	530	4	116	8.083
680	370		86	5.8
800	665	4	108	7.5
800	510	3		8
790	435	4	104	8.138
740	465	3		6.2
740	640	3	108	7.9
730	360	3	94	6.2
				
690	530			
770	530	3	100	6.38
				
800	530	3		7.97
740	590	3.5	103	6.145
770	420	3.5		8.4
780	530	2.5	108	9.575
740	600	3	92	7.6
750	460	3	110	6.5
