University of Southern California;|
University of Michigan Ann Arbor;University of Wisconsin Madison;University of Illinois Urbana-Champaign;|University of Michigan Ann Arbor;University of Wisconsin Madison;
|
Indiana University/Purdue University at Indianapolis;University of South Florida;|
|
North Carolina State University;University of California San Diego;University of California Santa Barbara;University of Maryland College Park;Virginia Polytechnic Institute and State University;|
Texas Tech University;University of Texas Dallas;University of Texas El Paso;|
University of Oklahoma;University of Tulsa;|University of Oklahoma;University of Tulsa;
|
|
University of California Santa Barbara;University of Michigan Ann Arbor;University of Minnesota Twin Cities;University of Southern California;|University of Southern California;
Arizona State University;Southern Methodist University;University of Kansas;University of Michigan Dearborn;University of Oklahoma;University of Texas Dallas;|Arizona State University;Southern Methodist University;University of Kansas;University of Michigan Dearborn;University of Oklahoma;
University of Pittsburgh Bradford;|
University of Missouri Kansas City;|University of Missouri Kansas City;
|
|
University of Texas Dallas;|
Arizona State University;Colorado State University;University of Texas Dallas;|Arizona State University;Colorado State University;University of Texas Dallas;
Texas A&M University College Station;Texas A&M University Kingsville;Texas Tech University;University of Texas Arlington;University of Texas Tyler;|
|
|
University of Colorado Boulder;|University of Colorado Boulder;
|
North Carolina A&T State University;North Dakota State University;California State University Long Beach;University of Texas Arlington;Illinois Institute of Technology;SUNY Albany;University of Idaho;|California State University Long Beach;University of Texas Arlington;
Polytechnic University of New York;University of Maryland College Park;|
University of Massachusetts Amherst;University of Texas Dallas;Arizona State University;San Jose State University;Worcester Polytechnic Institute;Texas A&M University College Station;University of Southern California;;University of Texas Austin;Virginia Polytechnic Institute and State University;|Arizona State University;San Jose State University;Worcester Polytechnic Institute;
|
University of Texas Dallas;|
|
|
Columbia University;Cornell University;Princeton University;Rice University;Rutgers University;Rutgers University New Brunswick/Piscataway;Syracuse University;University of Colorado Boulder;University of Michigan Ann Arbor;University of Southern California;University of Texas Austin;University of Texas Dallas;|
Ohio State University Columbus;Oregon State University;University of Illinois Chicago;New Jersey Institute of Technology;University of Florida;University of North Carolina Charlotte;University of Texas Dallas;Clemson University;|New Jersey Institute of Technology;University of Florida;University of North Carolina Charlotte;University of Texas Dallas;
Lamar University;Louisiana State University Baton Rouge;University of North Texas;Wichita State University;|
|
|
|
California State University Los Angeles;Polytechnic University of New York;SUNY Binghamton;SUNY Buffalo;University of Southern California;|
|
|
Northeastern University;University of Florida;Syracuse University;|Syracuse University;
|
University of Arizona;University of Southern California;University of Texas Dallas;North Carolina State University;|University of Arizona;University of Southern California;University of Texas Dallas;
California Institute of Technology;|
Murray State University;University of Bridgeport;|
|
San Jose State University;Southern Illinois University Carbondale;Wichita State University;SUNY Buffalo;Arizona State University;|SUNY Buffalo;
|
|
Texas A&M University Kingsville;University of Houston Clear Lake;|University of Houston Clear Lake;
New Jersey Institute of Technology;|
|
|
|
|
|
New Jersey Institute of Technology;Rutgers University New Brunswick/Piscataway;|
|
|
|
|
Carnegie Mellon University;University of Minnesota Duluth;University of Vermont;|
|
Carnegie Mellon University;Georgia Institute of Technology;University of California Berkeley;University of Illinois Urbana-Champaign;University of Maryland College Park;|
|
|
California State University Fullerton;New York Institute of Technology;California State University Long Beach;|California State University Fullerton;New York Institute of Technology;
University of Utah;|University of Utah;
|
Northeastern University;University of Texas Dallas;|Northeastern University;University of Texas Dallas;
|
University of Colorado Boulder;University of Illinois Chicago;|University of Colorado Boulder;University of Illinois Chicago;
|
University of California Davis;University of California Irvine;University of California Los Angeles;University of California San Diego;University of California Santa Barbara;University of Southern California;|
California State University Los Angeles;Southern Illinois University Carbondale;University of Texas Arlington;University of Colorado Denver;|University of Colorado Denver;
University of Missouri Kansas City;|University of Missouri Kansas City;
Arizona State University;California State University Long Beach;Northeastern University;University of North Carolina Charlotte;|
|
University of California Riverside;University of California Santa Barbara;University of Southern California;Boston University;University of California Davis;University of Colorado Boulder;University of Illinois Chicago;University of Maryland College Park;University of California Irvine;University of Florida;Virginia Polytechnic Institute and State University;|Boston University;University of California Davis;University of Colorado Boulder;University of Illinois Chicago;University of Maryland College Park;
Northeastern University;University of California Davis;University of California Riverside;|
|
Iowa State University;University of Cincinnati;Texas A&M University College Station;University of Texas Austin;|
|
University of Colorado Boulder;University of Minnesota Twin Cities;|University of Colorado Boulder;University of Minnesota Twin Cities;
University of Texas Dallas;|
University of Illinois Chicago;University of Massachusetts Dartmouth;|University of Illinois Chicago;University of Massachusetts Dartmouth;
|
|
|
|
|
|
Rochester Institute of Technology;New Jersey Institute of Technology;University of Texas San Antonio;|New Jersey Institute of Technology;University of Texas San Antonio;
Purdue University Calumet;SUNY Stony Brook;University of California Riverside;University of Illinois Chicago;University of Massachusetts Amherst;|
|
|
Arizona State University;University of Southern California;|
|
University of Alabama Birmingham;University of Alabama Huntsville;University of Alabama Tuscaloosa (main campus);University of South Alabama;|
|
|
University of New Haven;|University of New Haven;
|
California State University Fullerton;California State University Long Beach;New Jersey Institute of Technology;|California State University Fullerton;California State University Long Beach;New Jersey Institute of Technology;
University of Texas Dallas;|
North Dakota State University;|
University of Missouri Kansas City;|University of Missouri Kansas City;
|
Alabama State University;University of Alabama Huntsville;|
|
|
|
|
Kansas State University;Oklahoma State University Stillwater;Texas A&M University College Station;University of Alabama Huntsville;University of Colorado Boulder;University of Houston Clear Lake;|
|
South Carolina State University;|
Boise State University;George Mason University;University of Missouri Rolla;|Boise State University;George Mason University;University of Missouri Rolla;
University of Central Florida;University of Florida;|
Georgia Institute of Technology;|
|
Portland State University;|Portland State University;
|
|
California State University Long Beach;California State University Los Angeles;California State University Monterey Bay;California State University Northridge;|
|
|
|
SUNY Buffalo;|SUNY Buffalo;
|
|
Wilmington College;|
Colorado State University;University of Houston main campus;University of Missouri Kansas City;West Virginia State University;|
Arizona State University;Texas A&M University College Station;University of Missouri Rolla;University of Texas Arlington;|
|
|
Illinois Institute of Technology;Michigan Technological University;Oklahoma State University Tulsa;Tennessee State University;University of Louisiana Lafayette;University of Tennessee;|
|
|
|
SUNY Buffalo;University of Pennsylvania;University of Texas Arlington;University of Texas Dallas;Utica College of Syracuse University;|
Virginia Polytechnic Institute and State University;Illinois Institute of Technology;University of Southern California;SUNY Buffalo;University of Missouri Rolla;|Illinois Institute of Technology;University of Southern California;
Texas A&M University College Station;|
|
|
California Institute of Technology;Stanford University;|
|
"Art Center College of Design;Azusa Pacific University;Bethany College;Bethesda Christian University;California Institute of the Arts;California Lutheran University;California Maritime Academy;California Pacific University;California Polytechnic State University| San Luis Obispo;California State University Chico;California State University Dominguez Hills;California State University East Bay;California State University Fullerton;California State University Long Beach;California State University Los Angeles;California State University Monterey Bay;California State University Northridge;California State University Sacramento;California State University San Bernardino;Church Divinity School of the Pacific;Claremont Graduate University;DeVry University-Long Beach;DeVry University-Pomona;Dominican School of Philosophy & Theology;Dominican University of California;Fuller Theological Seminary;Humboldt State University;Humphreys College;Institute of Transpersonal Psychology;Lincoln University;Loma Linda University;Loyola Marymount University;Marymount College;National University;New College of California;"|
|
University of Houston Clear Lake;University of Illinois Springfield;|
Lamar University;Louisiana Tech University;Northern Illinois University;Oklahoma State University Tulsa;Southern Illinois University Carbondale;Southern Illinois University Edwardsville;Texas A&M University Kingsville;University of Bridgeport;University of Houston Clear Lake;University of Louisiana Lafayette;University of Missouri Columbia;University of Missouri Kansas City;University of Missouri Rolla;University of New Haven;University of North Texas;University of Oklahoma;University of Texas Arlington;University of Tulsa;|
|
|
|
|
Barry University;University of Central Florida;University of Florida;|University of Florida;
|
Kent State University;Texas A&M University Kingsville;University of Northwestern Ohio;University of Texas Arlington;University of Texas Dallas;Wright State University;|
|
California Baptist University;California Institute of Integral Studies;California Institute of Technology;Stanford University;|
Texas A&M University College Station;Texas A&M University Kingsville;Trinity University;University of Texas Arlington;University of Texas San Antonio;|Texas A&M University College Station;Texas A&M University Kingsville;Trinity University;University of Texas Arlington;University of Texas San Antonio;
North Carolina State University;|
Georgia Institute of Technology;|
New York Institute of Technology;New York University;Rhode Island School of Design;Youngstown State University;|
|
Texas A&M University Kingsville;Texas A&M University Prairie View A&M University;Texas A&M University Tarleton State University;Texas A&M University Texarkana;Texas A&M University Texas A&M International University (Laredo);Texas A&M University West Texas A&M University;Texas Wesleyan University;|
Arizona State University;University of Texas Arlington;SUNY Binghamton;University of Missouri Rolla;University of Texas Dallas;|SUNY Binghamton;
|
|
|
Stanford University;|
|
|
|
Georgia Institute of Technology;University of California Los Angeles;University of Illinois Urbana-Champaign;University of Iowa;University of Southern California;|
|
|
Texas A&M University College Station;University of Texas Arlington;|
University of Kansas;Virginia Polytechnic Institute and State University;SUNY Stony Brook;University of Texas Dallas;University of Arizona;University of Cincinnati;University of Utah;|SUNY Stony Brook;University of Texas Dallas;
|
George Mason University;Georgia Institute of Technology;Iowa State University;North Carolina State University;Oregon State University;University of Colorado Boulder;University of Illinois Chicago;University of North Carolina Charlotte;University of Tennessee Knoxville;University of Utah;Virginia Polytechnic Institute and State University;Michigan Technological University;|Michigan Technological University;
University of Southern California;University of Illinois Chicago;Columbia University;Georgia Institute of Technology;Iowa State University;Ohio State University Columbus;I am really disheartened by this bcoz it had always been my dream for OSU and im getting to know the reason for these spring of rejects nd mostly might be bcoz of my low AWA and late(relatively) submission almost Jan 1st week bcoz had taken my GRE on Dec 5th.I was really frustrated by their delay almost four months of patience and all that i get is a ;University of Massachusetts Amherst;University of Pennsylvania;|University of Illinois Chicago;
|
Drexel University;Pennsylvania State University Fayette;University of Pittsburgh Johnstown;|
SUNY Buffalo;|
|
|
Kansas State University;University of Houston main campus;University of Kentucky;University of Nevada-Las Vegas;West Virginia University;|
University of Southern California;|
Arizona State University;Illinois Institute of Technology;Rutgers University New Brunswick/Piscataway;San Diego State University;SUNY Buffalo;SUNY Stony Brook;Syracuse University;University of Maryland College Park;University of Southern California;University of Texas Dallas;|University of Texas Dallas;
|
|
University of California Berkeley;University of California Los Angeles;University of California San Diego;University of California Santa Barbara;University of Southern California;|
Iowa State University;North Carolina State University;Rutgers University New Brunswick/Piscataway;SUNY Stony Brook;Virginia Polytechnic Institute and State University;New Jersey Institute of Technology;|New Jersey Institute of Technology;
Arizona State University;San Diego State University;University of California San Diego;|
|
|
California State University Los Angeles;California State University San Bernardino;|
University of Southern California;|
Colorado State University;|
|
|
Oregon State University;Pennsylvania State University;SUNY Stony Brook;University of Cincinnati;University of Delaware;University of Arizona;University of Illinois Chicago;University of Missouri Rolla;|University of Arizona;University of Illinois Chicago;University of Missouri Rolla;
Cleveland State University;San Diego State University;Southern Illinois University Edwardsville;Texas A&M University Kingsville;|
|
|
University of Akron;University of Cincinnati;|
|
Carnegie Mellon University;Ohio State University Mansfield;University of Wisconsin Madison;|
|
|
University of Florida;University of Texas Arlington;Northeastern University;|Northeastern University;
|
|
Arizona State University;|
|
|
|
Arizona State University;Kansas State University;University of Illinois Chicago;University of Illinois Urbana-Champaign;University of Southern California;|
|
Rice University;|
|
George Mason University;Southern Methodist University;SUNY Institute of Technology at Utica/Rome;|
|
|
|
|
|
|
|
North Carolina State University;University of California San Diego;University of Massachusetts Amherst;University of Texas Austin;|
Arizona State University;Florida State University;Illinois State University;Michigan State University;Ohio State University Columbus;Prescott College;Rutgers University;University of Chicago;University of Florida;University of Illinois Chicago;University of Rochester;University of Southern California;Utah Valley State College;Virginia Polytechnic Institute and State University;Virginia State University;|
|
University of Arizona;University of California Santa Cruz;University of Southern California;|
|
California Institute of Technology;Cornell University;Georgia Institute of Technology;Georgia State University;Rutgers University;University of California San Diego;University of Illinois Urbana-Champaign;University of Michigan Ann Arbor;University of Southern California;|
|
New Jersey Institute of Technology;San Diego State University;Stanford University;Stevens Institute of Technology;University of California San Diego;|
University of Southern California;|
|
North Dakota State University;University of North Dakota;|
|
|
Illinois Institute of Technology;|
Auburn University;Clemson University;Northeastern University;University of Massachusetts Amherst;University of Southern California;|
California Institute of Technology;University of California Berkeley;University of California Davis;University of California San Diego;University of California Santa Barbara;University of California Santa Cruz;University of Houston main campus;University of Southern California;University of Texas Austin;|
|
|
|
|
|
|
Arizona State University;Rutgers University New Brunswick/Piscataway;SUNY Buffalo;University of Florida;University of Illinois Chicago;Texas A&M University College Station;University of California Irvine;University of Massachusetts Amherst;University of Texas Austin;Virginia Polytechnic Institute and State University;|Arizona State University;Rutgers University New Brunswick/Piscataway;SUNY Buffalo;University of Florida;University of Illinois Chicago;
University of Massachusetts Amherst;Northeastern University;|Northeastern University;
University of California Berkeley;University of California San Francisco;University of San Francisco;University of Southern California;|
California Institute of Technology;California State University Bakersfield;California State University Channel Islands;California State University Chico;California State University Dominguez Hills;California State University East Bay;California State University Fresno;California State University Fullerton;California State University Long Beach;California State University Los Angeles;California State University Monterey Bay;California State University Northridge;California State University Sacramento;California State University San Bernardino;California State University San Marcos;California State University Stanislaus;Santa Clara University;University of California Berkeley;University of California Davis;University of California Irvine;University of California Riverside;University of California San Diego;University of California San Francisco;University of California Santa Barbara;University of California Santa Cruz;University of San Diego;University of San Francisco;University of Southern California;|
Drexel University;Syracuse University;|Drexel University;Syracuse University;
Northeastern University;University of Massachusetts Amherst;|
|
|
California State University Los Angeles;California State University Northridge;Lamar University;SUNY College at New Paltz;University of Texas San Antonio;|California State University Los Angeles;California State University Northridge;
|
University of Florida;University of Texas Dallas;Virginia Polytechnic Institute and State University;Texas A&M University College Station;University of Minnesota Twin Cities;|University of Florida;University of Texas Dallas;Virginia Polytechnic Institute and State University;
|
|
|
|
|
|
|
Ohio State University Columbus;;SUNY Stony Brook;;University of Minnesota Twin Cities;;Vanderbilt University;Northwestern University;Oregon State University;Texas A&M University College Station;University of Utah;Virginia Polytechnic Institute and State University;|Ohio State University Columbus;;SUNY Stony Brook;;University of Minnesota Twin Cities;;Vanderbilt University;
|
|
|
|
Florida State University;University of Central Florida;University of Colorado Boulder;University of Denver;|
|
|
|
|
|
Arizona State University;California Institute of Technology;Georgia Institute of Technology;University of California Los Angeles;University of California San Diego;University of California San Francisco;University of California Santa Barbara;University of Southern California;Virginia Polytechnic Institute and State University;Virginia State University;|
San Diego State University;San Jose State University;|
|
|
Stanford University;University of California Berkeley;University of California Los Angeles;University of Southern California;|
|
|
|
|
|
Arizona State University;|
Arizona State University;|
|
California State University Chico;|
|
|
University of Kentucky;|
|
|
Georgia Institute of Technology;Northeastern University;Pennsylvania State University University Park (main campus);Rutgers University;University of Colorado Boulder;University of Maryland College Park;University of Texas Austin;University of Texas Dallas;|Georgia Institute of Technology;Northeastern University;Pennsylvania State University University Park (main campus);Rutgers University;University of Colorado Boulder;University of Maryland College Park;
Illinois Institute of Technology;|
|
|
Stanford University;University of California Los Angeles;University of California San Diego;University of California Santa Barbara;|
Arlington Baptist College;University of Dallas;University of Houston Downtown;University of Mary Hardin-Baylor;University of North Texas;University of Texas Arlington;University of Texas Austin;|
|
University of California Los Angeles;University of California San Diego;University of Michigan Ann Arbor;Georgia Institute of Technology;Purdue University;Stanford University;University of Maryland College Park;University of Texas Austin;|University of California Los Angeles;University of California San Diego;University of Michigan Ann Arbor;
Georgia Institute of Technology;University of California Santa Barbara;University of Massachusetts Amherst;University of Minnesota Twin Cities;Stanford University;Texas A&M University College Station;University of California Los Angeles;University of Texas Austin;|University of California Santa Barbara;University of Massachusetts Amherst;University of Minnesota Twin Cities;
University of Massachusetts Amherst;|
California State University Los Angeles;San Diego State University;San Jose State University;Stanford University;University of California Berkeley;University of San Diego;University of San Francisco;University of Southern California;|
Illinois Institute of Technology;SUNY Stony Brook;University of Texas Arlington;|Illinois Institute of Technology;SUNY Stony Brook;University of Texas Arlington;
Virginia Polytechnic Institute and State University;North Carolina State University;Rutgers University New Brunswick/Piscataway;University of Colorado Boulder;University of Florida;Pennsylvania State University University Park (main campus);Texas A&M University College Station;University of California San Diego;University of Texas Austin;|North Carolina State University;Rutgers University New Brunswick/Piscataway;University of Colorado Boulder;University of Florida;
Texas A&M University Texas A&M International University (Laredo);|
North Carolina State University;University of California Davis;University of California Irvine;University of California Santa Barbara;University of Minnesota Twin Cities;University of Virginia;Virginia State University;|
Georgia Institute of Technology;North Carolina State University;University of Colorado Boulder;University of Massachusetts Amherst;University of Minnesota Twin Cities;University of Southern California;University of Texas Austin;University of California Santa Barbara;University of Maryland College Park;Virginia Polytechnic Institute and State University;|Georgia Institute of Technology;North Carolina State University;University of Colorado Boulder;University of Massachusetts Amherst;University of Minnesota Twin Cities;University of Southern California;University of Texas Austin;
University of Cincinnati;University of Florida;Portland State University;SUNY Buffalo;University of Southern California;University of Texas Dallas;North Carolina State University;Oregon State University;SUNY Stony Brook;Texas A&M University College Station;|Portland State University;SUNY Buffalo;University of Southern California;University of Texas Dallas;
|
Arizona State University;|
San Jose State University;|
Illinois Institute of Technology;Rochester Institute of Technology;University of Southern California;University of Texas Dallas;|Illinois Institute of Technology;Rochester Institute of Technology;University of Southern California;
North Carolina State University;Ohio State University Columbus;University of Colorado Boulder;University of Florida;University of Minnesota Twin Cities;University of Pittsburgh Greensburg;University of Texas Dallas;Michigan State University;Purdue University;University of Maryland College Park;Virginia Polytechnic Institute and State University;|North Carolina State University;Ohio State University Columbus;University of Colorado Boulder;University of Florida;University of Minnesota Twin Cities;University of Pittsburgh Greensburg;University of Texas Dallas;
California State University Long Beach;University of Southern California;|
Arizona State University;Iowa State University;Ohio State University Columbus;|
University of Southern California;University of Florida;Columbia University;Georgia Institute of Technology;Pennsylvania State University;Texas A&M University College Station;University of Massachusetts Amherst;University of Washington;University of Wisconsin Madison;Virginia Polytechnic Institute and State University;|University of Florida;
University of Colorado Boulder;University of Utah;Utah State University;Virginia Polytechnic Institute and State University;Arizona State University;University of North Carolina Charlotte;North Carolina State University;Texas A&M University College Station;|Arizona State University;University of North Carolina Charlotte;
University of Texas Austin;North Carolina State University;University of Massachusetts Amherst;Pennsylvania State University University Park (main campus);Texas A&M University College Station;University of California Los Angeles;University of Illinois Urbana-Champaign;University of Michigan Ann Arbor;Virginia Polytechnic Institute and State University;|North Carolina State University;University of Massachusetts Amherst;
Iowa State University;Texas A&M University College Station;University of Arizona;University of Texas Dallas;|
Georgia Institute of Technology;North Carolina State University;University of California Santa Barbara;University of Florida;University of Texas Dallas;Texas A&M University College Station;University of Maryland College Park;University of Texas Austin;Virginia Polytechnic Institute and State University;|Georgia Institute of Technology;North Carolina State University;University of California Santa Barbara;University of Florida;University of Texas Dallas;
Arizona State University;University of Massachusetts Amherst;|
University of California Santa Barbara;University of Wisconsin Madison;Texas A&M University College Station;University of Colorado Boulder;University of Minnesota Twin Cities;University of Texas Austin;Georgia Institute of Technology;Purdue University;|Texas A&M University College Station;University of Colorado Boulder;University of Minnesota Twin Cities;University of Texas Austin;
Arizona State University;University of Southern California;|
Oregon State University;Texas A&M University College Station;University of Florida;Arizona State University;University of Texas Dallas;|Arizona State University;University of Texas Dallas;
|
University of California Berkeley;University of California Los Angeles;University of Illinois Urbana-Champaign;University of Texas Austin;|
Massachusetts Institute of Technology;Stanford University;University of Texas Austin;|
Emory University;Rice University;University of Texas Austin;|
Michigan State University;North Carolina State University;Ohio State University Columbus;University of Arizona;University of Florida;Virginia Polytechnic Institute and State University;Purdue University;Texas A&M University College Station;University of California Santa Barbara;University of Maryland College Park;University of Texas Austin;|North Carolina State University;Ohio State University Columbus;University of Arizona;University of Florida;Virginia Polytechnic Institute and State University;
California Institute of Technology;Carnegie Mellon University;Georgia Institute of Technology;Illinois Institute of Technology;University of California Los Angeles;University of Michigan Ann Arbor;University of Southern California;|
|
University of California San Diego;|
North Carolina State University;University of Minnesota Twin Cities;;Virginia Polytechnic Institute and State University;;Purdue University;;University of California San Diego;University of Massachusetts Amherst;|North Carolina State University;University of Minnesota Twin Cities;;Virginia Polytechnic Institute and State University;;
Michigan State University;Rice University;University of Cincinnati;Virginia Polytechnic Institute and State University;California Institute of Technology;Texas A&M University College Station;|University of Cincinnati;Virginia Polytechnic Institute and State University;
Virginia Polytechnic Institute and State University;Arizona State University;Clemson University;Pennsylvania State University;University of Florida;North Carolina State University;University of Minnesota Twin Cities;|Arizona State University;Clemson University;Pennsylvania State University;University of Florida;
Carnegie Mellon University;North Carolina State University;Purdue University;Texas A&M University College Station;University of Florida;University of Southern California;University of Texas Austin;University of Minnesota Twin Cities;Decision and Date: ;|University of Minnesota Twin Cities;Decision and Date: ;
SUNY Albany;Purdue University;Texas Tech University;University of California San Diego;University of Cincinnati;University of Texas Dallas;Arizona State University;Rutgers University New Brunswick/Piscataway;|Purdue University;Texas Tech University;University of California San Diego;University of Cincinnati;University of Texas Dallas;
|
|
|
|
Carnegie Mellon University;Georgia Institute of Technology;Stanford University;University of Michigan Ann Arbor;University of Texas Austin;University of Wisconsin Madison;|
Carnegie Mellon University;University of California Santa Barbara;University of Southern California;Georgia Institute of Technology;North Carolina State University;Pennsylvania State University;University of Michigan Ann Arbor;|University of Southern California;
Arizona State University;Illinois Institute of Technology;North Carolina State University;Northeastern University;Ohio State University Columbus;San Jose State University;SUNY Buffalo;University of Illinois Chicago;University of Minnesota Twin Cities;University of Southern California;Virginia State University;|
|
Iowa State University;Ohio State University Columbus;University of Colorado Boulder;;University of Pennsylvania;University of Texas Dallas;Columbia University;North Carolina State University;Virginia Polytechnic Institute and State University;|University of Colorado Boulder;;University of Pennsylvania;University of Texas Dallas;
Arizona State University;University of Cincinnati;University of Southern California;|Arizona State University;University of Cincinnati;
Georgia College & State University;Georgia Institute of Technology;Georgia Southern University;Georgia Southwestern State University;Georgia State University;Ohio State University Columbus;Ohio State University Lima;Ohio State University Mansfield;Ohio University;Purdue University;Texas A&M University College Station;University of Florida;University of Maryland Baltimore;University of Maryland Baltimore County;University of Maryland College Park;University of Maryland Eastern Shore;University of Maryland University College;University of Texas Austin;University of Texas Dallas;|
Illinois Institute of Technology;Illinois State University;Kansas State University;Oklahoma State University Stillwater;Oklahoma State University Tulsa;Rochester Institute of Technology;SUNY Stony Brook;Syracuse University;University of Colorado Boulder;University of Florida;University of Minnesota Twin Cities;University of North Carolina Chapel Hill;University of North Carolina Charlotte;University of Rochester;University of Southern California;University of Texas Dallas;Utah State University;|
Arizona State University;Georgia Institute of Technology;North Carolina A&T State University;SUNY Stony Brook;University of California Los Angeles;University of California Santa Barbara;University of Florida;University of Minnesota Twin Cities;University of Texas Austin;|
Virginia Polytechnic Institute and State University;Georgia Institute of Technology;North Carolina State University;SUNY Stony Brook;Texas A&M University College Station;University of California San Diego;University of Massachusetts Amherst;|Virginia Polytechnic Institute and State University;
Texas A&M University College Station;University of Texas Austin;|
|
|
|
Georgia Institute of Technology;Texas A&M University College Station;University of Florida;Virginia Polytechnic Institute and State University;Arizona State University;North Carolina State University;University of Texas Austin;|Arizona State University;
|
|
Georgia Institute of Technology;|
Columbia University;Pennsylvania State University;University of Maryland College Park;University of Southern California;Carnegie Mellon University;Georgia Institute of Technology;University of California Santa Barbara;University of Pennsylvania;Virginia Polytechnic Institute and State University;|Columbia University;Pennsylvania State University;University of Maryland College Park;University of Southern California;
Arizona State University;Ohio State University Columbus;University of Southern California;University of Florida;University of Minnesota Twin Cities;University of Texas Dallas;Georgia Institute of Technology;North Carolina State University;Texas A&M University College Station;University of California Irvine;University of California San Diego;|University of Florida;University of Minnesota Twin Cities;University of Texas Dallas;
North Carolina State University;University of Florida;University of Massachusetts Amherst;University of Southern California;|
|
North Carolina State University;Pennsylvania State University;Texas A&M University College Station;University of Arizona;University of Florida;University of Houston main campus;University of Kansas;University of Texas Arlington;|
Case Western Reserve University;Clemson University;Iowa State University;University of Notre Dame;University of Tennessee Knoxville;Arizona State University;University of Utah;Washington University in St. Louis;|Arizona State University;University of Utah;
University of Maryland College Park;|University of Maryland College Park;
Carnegie Mellon University;Georgia Institute of Technology;University of California Santa Barbara;University of Michigan Ann Arbor;University of Texas Austin;|
|
Arizona State University Polytechnic Campus;Arizona State University West;University of Arizona;|
|
|
Pennsylvania State University University Park (main campus);Arizona State University;North Carolina State University;Ohio State University Columbus;SUNY Albany;University of Wisconsin Madison;Georgia Institute of Technology;Purdue University;Texas A&M University College Station;University of Illinois Urbana-Champaign;|Arizona State University;North Carolina State University;Ohio State University Columbus;SUNY Albany;University of Wisconsin Madison;
Auburn University;Columbia University;North Carolina State University;University of Maryland College Park;University of Pennsylvania;University of Southern California;University of Texas Dallas;University of Wisconsin Madison;University of California San Diego;University of California Santa Barbara;Virginia Polytechnic Institute and State University;|Auburn University;Columbia University;North Carolina State University;University of Maryland College Park;University of Pennsylvania;University of Southern California;University of Texas Dallas;University of Wisconsin Madison;
|
|
Arizona State University;University of Arizona;University of Southern California;Carnegie Mellon University;North Carolina State University;University of Maryland College Park;University of Texas Austin;Virginia Polytechnic Institute and State University;|Arizona State University;University of Arizona;University of Southern California;
Georgia Institute of Technology;University of California Santa Barbara;University of Florida;University of Wisconsin Madison;Arizona State University;University of Southern California;University of Texas Dallas;Texas A&M University College Station;|Arizona State University;University of Southern California;University of Texas Dallas;
|
Northeastern University;Rutgers University New Brunswick/Piscataway;University of Colorado Boulder;University of Pennsylvania;University of Texas Dallas;Georgia Institute of Technology;University of California Irvine;University of Maryland College Park;University of Texas Austin;University of Wisconsin Madison;|Northeastern University;Rutgers University New Brunswick/Piscataway;University of Colorado Boulder;University of Pennsylvania;University of Texas Dallas;
Arizona State University;University of Florida;Georgia Institute of Technology;University of Minnesota Twin Cities;University of Texas Dallas;North Carolina State University;Purdue University;University of Maryland College Park;|Georgia Institute of Technology;University of Minnesota Twin Cities;University of Texas Dallas;
|
|
|
Arizona State University;Georgia Institute of Technology;Purdue University;Rice University;University of California Los Angeles;University of Illinois Urbana-Champaign;University of Maryland College Park;University of Texas Austin;|
Auburn University;Kansas State University;Oregon State University;Syracuse University;Wayne State University;|
|
|
Pennsylvania State University College of Technology;University of Minnesota Twin Cities;Purdue University Calumet;Texas A&M University College Station;University of California San Diego;University of Massachusetts Amherst;University of Texas Austin;|University of Minnesota Twin Cities;
Kansas State University;New Jersey Institute of Technology;New Mexico State University;SUNY Buffalo;University of Texas Arlington;University of Texas Dallas;|
|
University of Louisiana Lafayette;University of Missouri Kansas City;University of Texas Arlington;|
Iowa State University;University of Florida;Virginia Polytechnic Institute and State University;Arizona State University;;North Carolina State University;;University of Minnesota Twin Cities;Georgia Institute of Technology;Purdue University;University of Maryland College Park;;University of Massachusetts Amherst;|Arizona State University;;North Carolina State University;;University of Minnesota Twin Cities;
University of Arizona;|
|
Illinois Institute of Technology;Arizona State University;Colorado State University;SUNY Buffalo;Syracuse University;University of North Carolina Charlotte;University of Texas Arlington;University of Texas Dallas;Clemson University;North Carolina State University;University of Texas Austin;|Arizona State University;Colorado State University;SUNY Buffalo;Syracuse University;University of North Carolina Charlotte;University of Texas Arlington;University of Texas Dallas;
University of California Davis;University of California Irvine;University of California Los Angeles;University of California San Diego;University of California San Francisco;University of California Santa Barbara;University of California Santa Cruz;University of San Diego;University of Southern California;|
|
|
|
Arizona State University;Georgia Institute of Technology;Illinois Institute of Technology;Iowa State University;Michigan State University;Ohio State University Columbus;Texas A&M University College Station;University of Illinois Chicago;University of Illinois Urbana-Champaign;University of Michigan Ann Arbor;University of Texas Arlington;University of Texas Dallas;|
Arizona State University;Louisiana State University University of New Orleans;Texas A&M University College Station;University of Arizona;University of Florida;University of Southern California;University of Texas Arlington;University of Texas Dallas;|
Georgia Institute of Technology;Northeastern University;University of Southern California;|
|
Bradley University;Portland State University;Southern Illinois University Carbondale;SUNY Binghamton;University of Illinois Chicago;University of North Carolina Charlotte;|Bradley University;Portland State University;Southern Illinois University Carbondale;SUNY Binghamton;University of Illinois Chicago;University of North Carolina Charlotte;
Purdue University;Texas A&M University College Station;University of California Los Angeles;University of California Santa Barbara;University of Southern California;University of Texas Austin;University of Wisconsin Madison;|
