University of Cincinnati;Bentley College;University of Texas Dallas;|Bentley College;University of Texas Dallas;
George Mason University;Georgia State University;New Jersey Institute of Technology;Northeastern University;San Diego State University;University of Florida;University of Illinois Springfield;University of Nebraska Omaha;University of North Carolina Charlotte;|
Northeastern University;|
University of Cincinnati;University of Maryland College Park;SUNY Buffalo;Syracuse University;Texas A&M University College Station;University of Illinois Chicago;University of Texas Dallas;|SUNY Buffalo;Syracuse University;Texas A&M University College Station;University of Illinois Chicago;University of Texas Dallas;
Illinois Institute of Technology;Texas A&M University College Station;University of Texas Dallas;University of Florida;University of Illinois Chicago;University of South Florida;|University of Florida;University of Illinois Chicago;University of South Florida;
Texas A&M University College Station;University of California Berkeley;University of California Davis;University of California Los Angeles;University of Texas Austin;University of Texas San Antonio;|
|
Carnegie Mellon University;Duke University;Indiana University-Bloomington;University of Arizona;|
University of Washington;University of Illinois Chicago;|University of Washington;
Arizona State University;Indiana University-Bloomington;University of Cincinnati;|
Carnegie Mellon University;Indiana University-Bloomington;Rensselaer Polytechnic Institute;|Carnegie Mellon University;Indiana University-Bloomington;Rensselaer Polytechnic Institute;
University of Arizona;Texas A&M University College Station;University of Cincinnati;University of Illinois Chicago;University of South Florida;Indiana University-Bloomington;|Texas A&M University College Station;University of Cincinnati;University of Illinois Chicago;University of South Florida;
Bentley College;Carnegie Mellon University;Columbia University;Indiana University-Bloomington;Texas A&M University College Station;University of California Berkeley;University of California Irvine;University of Illinois Chicago;University of Illinois Urbana-Champaign;University of Washington;|
Georgia State University;SUNY Buffalo;University of Arizona;University of Illinois Chicago;University of South Florida;First ;|Georgia State University;SUNY Buffalo;University of Arizona;University of Illinois Chicago;University of South Florida;First ;
Carnegie Mellon University;;Indiana University-Bloomington;;Texas A&M University College Station;|Carnegie Mellon University;;Indiana University-Bloomington;;Texas A&M University College Station;
Florida Institute of Technology;University of Maryland Baltimore County;University of Texas Arlington;|Florida Institute of Technology;University of Maryland Baltimore County;University of Texas Arlington;
Carnegie Mellon University;|
University of Cincinnati;|
|
|
|
Carnegie Mellon University;Georgia State University;SUNY Buffalo;Syracuse University;Texas A&M University College Station;University of California Berkeley;University of Illinois Chicago;University of Washington;Indiana University-Bloomington;New York University;University of Arizona;|Carnegie Mellon University;Georgia State University;SUNY Buffalo;Syracuse University;Texas A&M University College Station;University of California Berkeley;University of Illinois Chicago;University of Washington;
|
New York University;University of Cincinnati;University of Illinois Chicago;Submitted on 8th dec. Application status complete on 20th Jan. ;University of Washington;|University of Illinois Chicago;Submitted on 8th dec. Application status complete on 20th Jan. ;University of Washington;
|
Carnegie Mellon University;SUNY Buffalo;Texas A&M University College Station;University of Illinois Chicago;|
Oklahoma State University Stillwater;SUNY Buffalo;University of Maryland College Park;University of South Florida;Syracuse University;University of Cincinnati;First put me on wait list and then ;|Oklahoma State University Stillwater;SUNY Buffalo;University of Maryland College Park;University of South Florida;
SUNY Buffalo;Texas A&M University College Station;University of Illinois Chicago;|SUNY Buffalo;Texas A&M University College Station;University of Illinois Chicago;
Central Michigan University;|
|
University of Texas Dallas;|University of Texas Dallas;
SUNY Buffalo;University of Arizona;University of Maryland College Park;University of Washington;|SUNY Buffalo;University of Arizona;University of Maryland College Park;University of Washington;
|
University of Texas Austin;Indiana University-Bloomington;SUNY Buffalo;Texas A&M University College Station;MIS - ;University of Cincinnati;University of South Florida;|Indiana University-Bloomington;SUNY Buffalo;Texas A&M University College Station;MIS - ;University of Cincinnati;University of South Florida;
|
Northeastern University;University of Maryland College Park;Indiana University-Bloomington;New York University;SUNY Buffalo;Syracuse University;University of Illinois Chicago;University of Washington;|Northeastern University;University of Maryland College Park;
DePaul University;University of Illinois Chicago;Boston University;Northeastern University;New Jersey Institute of Technology;University of Southern California;|Boston University;Northeastern University;
Syracuse University;University of Arizona;University of Cincinnati;University of Illinois Chicago;University of South Florida;Indiana University-Bloomington;Texas A&M University College Station;|Syracuse University;University of Arizona;University of Cincinnati;University of Illinois Chicago;University of South Florida;
|
University of South Florida;|University of South Florida;
George Washington University at Mount Vernon College;Illinois Institute of Technology;|George Washington University at Mount Vernon College;Illinois Institute of Technology;
Carnegie Mellon University;Texas A&M University College Station;University of Illinois Chicago;New York University;|Carnegie Mellon University;Texas A&M University College Station;University of Illinois Chicago;
|
Northeastern University;Oklahoma State University Stillwater;University of Illinois Springfield;University of Nebraska Omaha;|Northeastern University;Oklahoma State University Stillwater;University of Illinois Springfield;University of Nebraska Omaha;
|
|
|
|
|
Syracuse University;I-school..Applied on 1st Feb 2012. ;University of Arizona;Eller college of Management..Applied on 16th Jan 2012 . ;University of Illinois Chicago;Liautaud School of Business. Apllied on 20th Jan 2012. ;Carnegie Mellon University;Heinz College..Applied on 10th Jan 2012..;Indiana University-Bloomington;|Syracuse University;I-school..Applied on 1st Feb 2012. ;University of Arizona;Eller college of Management..Applied on 16th Jan 2012 . ;University of Illinois Chicago;Liautaud School of Business. Apllied on 20th Jan 2012. ;
University of Cincinnati;|University of Cincinnati;
New York University;|New York University;
Carnegie Mellon University;Indiana University-Bloomington;Texas A&M University College Station;University of Arizona;University of Maryland College Park;|
University of Florida;University of South Florida;University of Texas Dallas;|
University of Connecticut;|University of Connecticut;
Syracuse University;Texas A&M University College Station;University of Arizona;MIS Applied on dec 26th . Completed the final reco on jan 10th. ;University of Illinois Chicago;MIS .. My much Awaited ;University of South Florida;University of Washington;Indiana University-Bloomington;|Syracuse University;Texas A&M University College Station;University of Arizona;MIS Applied on dec 26th . Completed the final reco on jan 10th. ;University of Illinois Chicago;MIS .. My much Awaited ;University of South Florida;University of Washington;
Indiana University-Bloomington;Rensselaer Polytechnic Institute;University of Cincinnati;Texas A&M University College Station;|Indiana University-Bloomington;Rensselaer Polytechnic Institute;University of Cincinnati;
New York University;Texas A&M University College Station;Carnegie Mellon University;Syracuse University;University of Cincinnati;University of Illinois Chicago;University of Washington;Indiana University-Bloomington;|Carnegie Mellon University;Syracuse University;University of Cincinnati;University of Illinois Chicago;University of Washington;
|
|
Carnegie Mellon University;Georgia Institute of Technology;Indiana University-Bloomington;New York University;University of Maryland College Park;University of Southern California;|
"Northeastern University;Got ;University of Texas Arlington;Second ;University of Texas Dallas;PacketReached: Aug 28 2012| ;University of Colorado Boulder;ITP ;University of South Florida;"|"Northeastern University;Got ;University of Texas Arlington;Second ;University of Texas Dallas;PacketReached: Aug 28 2012| ;"
Carnegie Mellon University;SUNY Buffalo;University of Cincinnati;University of Illinois Chicago;University of Maryland College Park;University of South Florida;University of Arizona;|Carnegie Mellon University;SUNY Buffalo;University of Cincinnati;University of Illinois Chicago;University of Maryland College Park;University of South Florida;
SUNY Buffalo;SUNY Stony Brook;Texas A&M University College Station;|SUNY Buffalo;SUNY Stony Brook;Texas A&M University College Station;
Indiana University-Bloomington;New York University;Texas A&M University College Station;University of Arizona;|Texas A&M University College Station;University of Arizona;
Northeastern University;Oklahoma State University Stillwater;University of Illinois Springfield;University of Nebraska Omaha;|Northeastern University;Oklahoma State University Stillwater;University of Illinois Springfield;University of Nebraska Omaha;
Carnegie Mellon University;Indiana University-Bloomington;Rensselaer Polytechnic Institute;University of Illinois Chicago;University of Washington;University of California Berkeley;|Carnegie Mellon University;Indiana University-Bloomington;Rensselaer Polytechnic Institute;University of Illinois Chicago;University of Washington;
|
New York University;Purdue University;Rensselaer Polytechnic Institute;Oklahoma State University Stillwater;University of South Florida;University of Texas Dallas;|Oklahoma State University Stillwater;University of South Florida;University of Texas Dallas;
Purdue University;Duke University;University of South Florida;University of Texas Dallas;|Duke University;University of South Florida;University of Texas Dallas;
University of Arizona;Iowa State University;Oklahoma State University Stillwater;;University of Illinois Chicago;|Iowa State University;Oklahoma State University Stillwater;;University of Illinois Chicago;
"Georgia State University;Application completed in the last week of November| Interview on 14th of Feb and ;University of Maryland Baltimore County;;University of Texas Dallas;Applied 24th Oct| Packets reached 28th Oct| All items were received and updated by 7th November and Received a mail about the ;Worcester Polytechnic Institute;Application completed and under review from 14th November| Interview call on 30th November| ;Syracuse University;University of Illinois Chicago;"|"Georgia State University;Application completed in the last week of November| Interview on 14th of Feb and ;University of Maryland Baltimore County;;University of Texas Dallas;Applied 24th Oct| Packets reached 28th Oct| All items were received and updated by 7th November and Received a mail about the ;Worcester Polytechnic Institute;Application completed and under review from 14th November| Interview call on 30th November| ;"
Carnegie Mellon University;SUNY Buffalo;Texas A&M University College Station;University of Arizona;University of Florida;University of Illinois Chicago;Indiana University-Bloomington;|Carnegie Mellon University;SUNY Buffalo;Texas A&M University College Station;University of Arizona;University of Florida;University of Illinois Chicago;
